S.No.,Product,Exchange,Symbol,Net Qty,Buy Qty,Buy Avg Price,Buy Value,Sell Qty,Sell Avg Price,Sell Value,Carry Fwd Qty,Realized Profit,Unrealized Profit,P&L,UserID
1,NRML,NFO,NIFTY2570324550PE,0,225,4.1333333333333333333333333333,930.0,225,2.85,641.25,0,-288.75,0.00,-288.75,SIM1
2,NRML,NFO,NIFTY2570326350CE,0,150,4.275,641.25,150,3.3,495.0,0,-146.25,0.00,-146.25,SIM1
3,NRML,BFO,SENSEX2570184500CE,0,40,41.8,1672.0,40,130.05,5202.0,0,3530.0,0.00,3530.00,SIM1
4,NRML,BFO,SENSEX2570183500PE,0,40,175.325,7013.00,40,124.05,4962.00,0,-2051.00,0.00,-2051.00,SIM1
5,NRML,NFO,NIFTY2570325700CE,0,150,62.75,9412.50,150,109.325,16398.75,0,6986.25,0.00,6986.25,SIM1
6,NRML,NFO,NIFTY2570325600PE,0,150,132.9,19935.0,150,107.875,16181.25,0,-3753.75,0.00,-3753.75,SIM1
7,NRML,NFO,NIFTY2570325550PE,0,75,122.05,9153.75,75,97.35,7301.25,0,-1852.50,0.00,-1852.50,SIM1
8,NRML,NFO,NIFTY2570325650CE,0,75,78.45,5883.75,75,130.95,9821.25,0,3937.50,0.00,3937.50,SIM1
9,NRML,NFO,NIFTY2570325500PE,0,600,116.65,69990.00,600,106.18125,63708.75,0,-6742.50,461.25,-6281.25,SIM1
10,NRML,BFO,SENSEX2570183300PE,0,40,171,6840,40,119.0,4760.0,0,-2080.0,0.00,-2080.00,SIM1
11,NRML,BFO,SENSEX2570183200PE,0,40,154.95,6198.00,40,103.425,4137.00,0,-2061.00,0.00,-2061.00,SIM1
12,NRML,BFO,SENSEX2570184300CE,0,40,65.975,2639.00,40,140.65,5626.00,0,2987.00,0.00,2987.00,SIM1
13,NRML,NFO,NIFTY2570325600CE,0,150,97,14550,150,131.95,19792.5,0,5242.5,0.0,5242.5,SIM1
14,NRML,NFO,NIFTY2570325450PE,0,225,94.45,21251.25,225,93.6,21060.0,0,-191.25,0.00,-191.25,SIM1
15,NRML,NFO,NIFTY2570326300CE,0,75,4.15,311.25,75,3.85,288.75,0,-22.50,0.00,-22.50,SIM1
16,NRML,BFO,SENSEX2570183100PE,0,80,75.3,6024.0,80,112.6125,9009.00,0,2985.00,0.00,2985.00,SIM1
17,NRML,BFO,SENSEX2570184200CE,0,20,82.5,1650.0,20,100.5,2010.0,0,360.0,0.00,360.00,SIM1
18,NRML,NFO,NIFTY2570325550CE,0,75,119.45,8958.75,75,120.6,9045.0,0,86.25,0.00,86.25,SIM1
19,NRML,NFO,NIFTY2570325400PE,0,75,70.95,5321.25,75,83.3,6247.5,0,926.25,0.00,926.25,SIM1
20,NRML,BFO,SENSEX2570183000PE,0,20,60.85,1217.00,20,96.3,1926.0,0,709.00,0.00,709.00,SIM1
21,NRML,BFO,SENSEX2570184100CE,0,20,102.3,2046.0,20,119,2380,0,334.0,0.00,334.00,SIM1
22,NRML,NFO,NIFTY2570325500CE,0,300,142.0375,42611.25,300,136.55,40965.0,0,-1121.25,-525.00,-1646.25,SIM1
